data_structure,sample,memory_usage
BWT-HMM,hypothetical_protein_test,316.9
BWT-HMM,compressed_hypothetical_protein_test,317.2
MLSE-Viterbi,hypothetical_protein_test,316.9
MLSE-Viterbi,compressed_hypothetical_protein_test,316.9
BWT-HMM,hypothetical_protein_test,317.3
BWT-HMM,compressed_hypothetical_protein_test,316.9
MLSE-Viterbi,hypothetical_protein_test,316.7
MLSE-Viterbi,compressed_hypothetical_protein_test,315.9
BWT-HMM,hypothetical_protein_test,317.2
BWT-HMM,compressed_hypothetical_protein_test,316.7
MLSE-Viterbi,hypothetical_protein_test,316.4
MLSE-Viterbi,compressed_hypothetical_protein_test,316.4
BWT-HMM,hypothetical_protein_test,316.5
BWT-HMM,compressed_hypothetical_protein_test,316.1
MLSE-Viterbi,hypothetical_protein_test,315.6
MLSE-Viterbi,compressed_hypothetical_protein_test,315.6
BWT-HMM,hypothetical_protein_test,317.2
BWT-HMM,compressed_hypothetical_protein_test,316.7
MLSE-Viterbi,hypothetical_protein_test,316.6
MLSE-Viterbi,compressed_hypothetical_protein_test,316.6
BWT-HMM,hypothetical_protein_test,317.3
BWT-HMM,compressed_hypothetical_protein_test,316.9
MLSE-Viterbi,hypothetical_protein_test,316.5
MLSE-Viterbi,compressed_hypothetical_protein_test,316.5
BWT-HMM,hypothetical_protein_test,316.7
BWT-HMM,compressed_hypothetical_protein_test,317.0
MLSE-Viterbi,hypothetical_protein_test,316.3
MLSE-Viterbi,compressed_hypothetical_protein_test,316.3
BWT-HMM,hypothetical_protein_test,317.7
BWT-HMM,compressed_hypothetical_protein_test,317.2
MLSE-Viterbi,hypothetical_protein_test,316.7
MLSE-Viterbi,compressed_hypothetical_protein_test,316.2
BWT-HMM,hypothetical_protein_test,317.6
BWT-HMM,compressed_hypothetical_protein_test,317.2
MLSE-Viterbi,hypothetical_protein_test,316.7
MLSE-Viterbi,compressed_hypothetical_protein_test,316.8
BWT-HMM,hypothetical_protein_test,316.8
BWT-HMM,compressed_hypothetical_protein_test,317.1
MLSE-Viterbi,hypothetical_protein_test,316.4
MLSE-Viterbi,compressed_hypothetical_protein_test,316.6
BWT-HMM,hypothetical_protein_test,317.2
BWT-HMM,compressed_hypothetical_protein_test,316.8
MLSE-Viterbi,hypothetical_protein_test,316.4
MLSE-Viterbi,compressed_hypothetical_protein_test,316.4
BWT-HMM,hypothetical_protein_test,316.9
BWT-HMM,compressed_hypothetical_protein_test,317.2
MLSE-Viterbi,hypothetical_protein_test,316.9
MLSE-Viterbi,compressed_hypothetical_protein_test,316.2
BWT-HMM,hypothetical_protein_test,317.3
BWT-HMM,compressed_hypothetical_protein_test,316.9
MLSE-Viterbi,hypothetical_protein_test,316.3
MLSE-Viterbi,compressed_hypothetical_protein_test,316.3
BWT-HMM,hypothetical_protein_test,317.8
BWT-HMM,compressed_hypothetical_protein_test,317.3
MLSE-Viterbi,hypothetical_protein_test,317.2
MLSE-Viterbi,compressed_hypothetical_protein_test,317.2
BWT-HMM,hypothetical_protein_test,316.7
BWT-HMM,compressed_hypothetical_protein_test,317.1
MLSE-Viterbi,hypothetical_protein_test,316.8
MLSE-Viterbi,compressed_hypothetical_protein_test,316.8
BWT-HMM,hypothetical_protein_test,316.2
BWT-HMM,compressed_hypothetical_protein_test,316.4
MLSE-Viterbi,hypothetical_protein_test,315.6
MLSE-Viterbi,compressed_hypothetical_protein_test,315.7
BWT-HMM,hypothetical_protein_test,317.1
BWT-HMM,compressed_hypothetical_protein_test,317.4
MLSE-Viterbi,hypothetical_protein_test,317.0
MLSE-Viterbi,compressed_hypothetical_protein_test,316.2
BWT-HMM,hypothetical_protein_test,315.8
BWT-HMM,compressed_hypothetical_protein_test,316.1
MLSE-Viterbi,hypothetical_protein_test,314.9
MLSE-Viterbi,compressed_hypothetical_protein_test,314.9
BWT-HMM,hypothetical_protein_test,316.9
BWT-HMM,compressed_hypothetical_protein_test,317.3
