data_structure,sample,memory_usage
BWT-HMM,hypothetical_protein_test,305.4
BWT-HMM,compressed_hypothetical_protein_test,307.4
MLSE-Viterbi,hypothetical_protein_test,317.5
MLSE-Viterbi,compressed_hypothetical_protein_test,315.9
BWT-HMM-Merging,hypothetical_protein_test,317.7
BWT-HMM-Merging,compressed_hypothetical_protein_test,317.6
Kmer Index,hypothetical_protein_test,316.9
Kmer Index,compressed_hypothetical_protein_test,315.9
BWT-HMM,hypothetical_protein_test,316.0
BWT-HMM,compressed_hypothetical_protein_test,316.0
MLSE-Viterbi,hypothetical_protein_test,316.9
MLSE-Viterbi,compressed_hypothetical_protein_test,317.3
BWT-HMM-Merging,hypothetical_protein_test,317.1
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.5
Kmer Index,hypothetical_protein_test,305.6
Kmer Index,compressed_hypothetical_protein_test,307.5
BWT-HMM,hypothetical_protein_test,316.7
BWT-HMM,compressed_hypothetical_protein_test,317.0
MLSE-Viterbi,hypothetical_protein_test,317.3
MLSE-Viterbi,compressed_hypothetical_protein_test,316.5
BWT-HMM-Merging,hypothetical_protein_test,305.5
BWT-HMM-Merging,compressed_hypothetical_protein_test,307.4
Kmer Index,hypothetical_protein_test,316.1
Kmer Index,compressed_hypothetical_protein_test,316.5
BWT-HMM,hypothetical_protein_test,316.8
BWT-HMM,compressed_hypothetical_protein_test,315.9
MLSE-Viterbi,hypothetical_protein_test,304.8
MLSE-Viterbi,compressed_hypothetical_protein_test,306.6
BWT-HMM-Merging,hypothetical_protein_test,317.4
BWT-HMM-Merging,compressed_hypothetical_protein_test,317.7
Kmer Index,hypothetical_protein_test,317.6
Kmer Index,compressed_hypothetical_protein_test,316.8
BWT-HMM,hypothetical_protein_test,305.8
BWT-HMM,compressed_hypothetical_protein_test,307.7
MLSE-Viterbi,hypothetical_protein_test,317.1
MLSE-Viterbi,compressed_hypothetical_protein_test,317.7
BWT-HMM-Merging,hypothetical_protein_test,317.9
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.9
Kmer Index,hypothetical_protein_test,305.6
Kmer Index,compressed_hypothetical_protein_test,307.7
BWT-HMM,hypothetical_protein_test,316.6
BWT-HMM,compressed_hypothetical_protein_test,317.2
MLSE-Viterbi,hypothetical_protein_test,317.8
MLSE-Viterbi,compressed_hypothetical_protein_test,316.4
BWT-HMM-Merging,hypothetical_protein_test,305.3
BWT-HMM-Merging,compressed_hypothetical_protein_test,307.4
Kmer Index,hypothetical_protein_test,316.8
Kmer Index,compressed_hypothetical_protein_test,317.1
BWT-HMM,hypothetical_protein_test,317.7
BWT-HMM,compressed_hypothetical_protein_test,316.7
MLSE-Viterbi,hypothetical_protein_test,305.5
MLSE-Viterbi,compressed_hypothetical_protein_test,307.6
BWT-HMM-Merging,hypothetical_protein_test,316.5
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.9
Kmer Index,hypothetical_protein_test,317.4
Kmer Index,compressed_hypothetical_protein_test,316.4
BWT-HMM,hypothetical_protein_test,305.2
BWT-HMM,compressed_hypothetical_protein_test,307.4
MLSE-Viterbi,hypothetical_protein_test,317.4
MLSE-Viterbi,compressed_hypothetical_protein_test,317.8
BWT-HMM-Merging,hypothetical_protein_test,317.9
BWT-HMM-Merging,compressed_hypothetical_protein_test,317.1
Kmer Index,hypothetical_protein_test,305.9
Kmer Index,compressed_hypothetical_protein_test,307.9
BWT-HMM,hypothetical_protein_test,316.7
BWT-HMM,compressed_hypothetical_protein_test,317.1
MLSE-Viterbi,hypothetical_protein_test,317.8
MLSE-Viterbi,compressed_hypothetical_protein_test,316.7
BWT-HMM-Merging,hypothetical_protein_test,305.6
BWT-HMM-Merging,compressed_hypothetical_protein_test,307.7
Kmer Index,hypothetical_protein_test,316.6
Kmer Index,compressed_hypothetical_protein_test,317.0
BWT-HMM,hypothetical_protein_test,317.4
BWT-HMM,compressed_hypothetical_protein_test,316.6
MLSE-Viterbi,hypothetical_protein_test,305.5
MLSE-Viterbi,compressed_hypothetical_protein_test,307.5
BWT-HMM-Merging,hypothetical_protein_test,316.5
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.9
Kmer Index,hypothetical_protein_test,317.4
Kmer Index,compressed_hypothetical_protein_test,316.2
BWT-HMM,hypothetical_protein_test,305.3
BWT-HMM,compressed_hypothetical_protein_test,307.3
MLSE-Viterbi,hypothetical_protein_test,317.2
MLSE-Viterbi,compressed_hypothetical_protein_test,317.6
BWT-HMM-Merging,hypothetical_protein_test,318.2
